               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.018168,           0.0076176,                   0,             0.99935,                   1,               0.995,             0.85355,              0.0141,           0.0051922,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.019556,           0.0083529,                   0,             0.99934,                   1,               0.995,             0.88456,            0.014002,           0.0045527,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.015254,           0.0089464,                   0,             0.99925,                   1,               0.995,             0.90245,            0.012644,           0.0046369,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.019881,           0.0085929,                   0,             0.99917,                   1,               0.995,             0.86423,            0.014393,           0.0044981,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.016078,           0.0083496,                   0,             0.99924,                   1,               0.995,             0.89206,            0.012255,           0.0044288,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.015682,           0.0078784,                   0,             0.99956,                   1,               0.995,             0.88077,            0.013336,            0.004184,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.020477,           0.0084525,                   0,             0.99945,                   1,               0.995,              0.9167,            0.012835,           0.0042304,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.017647,           0.0073967,                   0,              0.9994,                   1,               0.995,             0.90137,            0.010829,           0.0045701,                   0,             0.00505,             0.00505,             0.00505
                 102,             0.01516,           0.0072708,                   0,              0.9994,                   1,               0.995,             0.90688,             0.01115,           0.0060221,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.015461,           0.0083534,                   0,             0.99946,                   1,               0.995,              0.8923,            0.012833,           0.0051293,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.019455,           0.0079411,                   0,             0.99942,                   1,               0.995,             0.90297,            0.014044,           0.0044996,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,             0.01519,           0.0074181,                   0,             0.99948,                   1,               0.995,             0.89019,             0.01569,           0.0045615,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.018009,           0.0080604,                   0,             0.99962,                   1,               0.995,             0.89428,            0.013576,           0.0042439,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.017109,           0.0069989,                   0,             0.99951,                   1,               0.995,             0.90548,            0.014969,           0.0042364,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.017689,           0.0077983,                   0,             0.99941,                   1,               0.995,             0.90879,            0.015966,           0.0040509,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.017917,           0.0086692,                   0,             0.99943,                   1,               0.995,             0.90645,            0.014022,           0.0038081,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.016302,           0.0081842,                   0,             0.99937,                   1,               0.995,             0.89214,            0.016201,           0.0040874,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.018122,           0.0076092,                   0,             0.99944,                   1,               0.995,             0.79053,            0.022957,           0.0048192,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.020205,           0.0071598,                   0,             0.99951,                   1,               0.995,              0.9077,            0.015569,            0.004323,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.017937,           0.0077581,                   0,             0.99947,                   1,               0.995,             0.88549,             0.01299,            0.004031,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.017064,           0.0072094,                   0,             0.99941,                   1,               0.995,             0.91928,           0.0099226,           0.0035644,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.014857,           0.0079168,                   0,             0.99945,                   1,               0.995,             0.93714,            0.010217,           0.0036306,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.013074,           0.0071785,                   0,             0.99946,                   1,               0.995,              0.9374,           0.0097851,           0.0036663,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015917,           0.0065258,                   0,             0.99949,                   1,               0.995,              0.9259,            0.009948,           0.0039763,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.015034,           0.0069335,                   0,             0.99943,                   1,               0.995,             0.91684,             0.01188,           0.0043716,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.016468,           0.0065358,                   0,              0.9994,                   1,               0.995,             0.90295,             0.01182,           0.0042342,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.016591,           0.0070139,                   0,             0.99937,                   1,               0.995,             0.93139,            0.012549,           0.0044715,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,             0.01537,           0.0062419,                   0,             0.99956,                   1,               0.995,              0.9193,            0.013437,            0.004229,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.017081,           0.0075684,                   0,             0.99954,                   1,               0.995,             0.91015,            0.011727,           0.0039391,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.016103,           0.0065357,                   0,             0.99949,                   1,               0.995,             0.92376,            0.010829,           0.0035747,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.015185,           0.0065416,                   0,             0.99947,                   1,               0.995,             0.95351,            0.010206,           0.0033865,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.012944,           0.0060056,                   0,             0.99949,                   1,               0.995,             0.91694,            0.010323,           0.0034797,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.016497,           0.0072176,                   0,             0.99947,                   1,               0.995,             0.92713,           0.0094636,           0.0031843,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.014063,           0.0065055,                   0,             0.99946,                   1,               0.995,             0.90744,             0.01045,           0.0032189,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.014946,           0.0070991,                   0,             0.99946,                   1,               0.995,              0.9532,            0.010742,           0.0032612,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,             0.01441,           0.0067863,                   0,             0.99947,                   1,               0.995,             0.91797,             0.01086,           0.0033891,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.016146,           0.0079684,                   0,             0.99946,                   1,               0.995,             0.91608,            0.011221,           0.0033884,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.016462,           0.0084982,                   0,             0.99947,                   1,               0.995,             0.91953,            0.011541,           0.0035289,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.014226,           0.0067125,                   0,             0.99951,                   1,               0.995,             0.94802,            0.010389,           0.0034193,                   0,           0.0035155,           0.0035155,           0.0035155
